epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,11179.6,0.43091,0.84141,0.33421,0.86661,0.99475,0.99279,0.99493,0.95525,0.99475,0.99279,0.99478,0.89399,0.31115,0.68048,0.24881,0.78942,0.000852812,0.000852812,0.000852812
128,11255.1,0.43072,0.86166,0.33878,0.85777,0.9959,0.992,0.9949,0.96181,0.99494,0.994,0.99497,0.88838,0.30458,0.68405,0.24156,0.78889,0.000850592,0.000850592,0.000850592
129,11315.8,0.46684,0.8951,0.37428,0.86571,0.99765,0.99655,0.995,0.96258,0.99765,0.99655,0.995,0.89627,0.30566,0.66474,0.24409,0.78637,0.000848358,0.000848358,0.000848358
130,11422.1,0.42492,0.87187,0.32705,0.86064,0.99198,0.99444,0.99486,0.96346,0.99198,0.99444,0.99486,0.89174,0.29718,0.68722,0.24004,0.78314,0.000846111,0.000846111,0.000846111
131,11491.9,0.41399,0.85199,0.32144,0.85855,0.98744,0.99179,0.99469,0.96734,0.98744,0.99179,0.99469,0.88415,0.29473,0.73596,0.2345,0.78297,0.000843851,0.000843851,0.000843851
132,11544.5,0.40814,0.83871,0.32143,0.85505,0.99508,0.99218,0.99487,0.96517,0.99508,0.99218,0.99487,0.89041,0.29103,0.67944,0.23125,0.7822,0.000841577,0.000841577,0.000841577
133,11630.8,0.41775,0.85514,0.32279,0.8594,0.99531,0.99559,0.99491,0.9654,0.99531,0.99559,0.9949,0.88929,0.29817,0.68946,0.23305,0.78417,0.00083929,0.00083929,0.00083929
134,11729.6,0.43944,0.87033,0.33555,0.8709,0.99181,0.99154,0.99446,0.9621,0.99356,0.99327,0.99461,0.88488,0.29779,0.71135,0.24206,0.78203,0.000836989,0.000836989,0.000836989
135,11788.1,0.42692,0.87014,0.32732,0.85937,0.9856,0.99692,0.9943,0.96503,0.9856,0.99692,0.9943,0.8859,0.28645,0.70464,0.23348,0.78234,0.000834676,0.000834676,0.000834676
136,11897.3,0.42439,0.82895,0.31879,0.86288,0.9958,0.99775,0.99479,0.96378,0.9958,0.99775,0.99479,0.88922,0.29334,0.70717,0.2343,0.78266,0.000832349,0.000832349,0.000832349
137,11945.7,0.42996,0.83579,0.3301,0.85486,0.99637,0.99879,0.99481,0.96537,0.99637,0.99879,0.99481,0.87861,0.28739,0.76083,0.23737,0.78671,0.00083001,0.00083001,0.00083001
138,12008.1,0.42857,0.85168,0.32867,0.86363,0.99623,0.99803,0.995,0.96378,0.99623,0.99803,0.995,0.88819,0.29577,0.67539,0.22775,0.78462,0.000827658,0.000827658,0.000827658
139,12100.8,0.42721,0.84633,0.32876,0.86215,0.99673,0.99147,0.995,0.96331,0.99673,0.99147,0.995,0.89814,0.29381,0.62916,0.22591,0.77885,0.000825293,0.000825293,0.000825293
140,12229.4,0.40907,0.84296,0.30692,0.86783,0.99656,0.99725,0.995,0.96811,0.99656,0.99725,0.995,0.88974,0.28944,0.68813,0.22313,0.78274,0.000822915,0.000822915,0.000822915
141,12318.5,0.39626,0.8084,0.30271,0.85534,0.99706,0.99321,0.99495,0.9589,0.99706,0.99321,0.99493,0.88793,0.30498,0.71013,0.23443,0.79127,0.000820525,0.000820525,0.000820525
142,12391.9,0.40894,0.82502,0.32023,0.85562,0.99692,0.99266,0.9949,0.96442,0.99692,0.99266,0.99487,0.88981,0.29376,0.66814,0.23128,0.78825,0.000818122,0.000818122,0.000818122
143,12486.9,0.40318,0.81435,0.30631,0.85697,0.99275,0.99483,0.9946,0.96528,0.99275,0.99483,0.9946,0.87831,0.29034,0.73915,0.23012,0.78472,0.000815707,0.000815707,0.000815707
144,12586.8,0.41636,0.85432,0.31763,0.86017,0.99788,0.98965,0.99482,0.96405,0.99788,0.98965,0.99475,0.89557,0.28697,0.65091,0.22838,0.77943,0.00081328,0.00081328,0.00081328
145,12720.3,0.41963,0.845,0.32278,0.86717,0.99453,0.99347,0.99491,0.96671,0.99453,0.99347,0.99491,0.88636,0.29291,0.69199,0.23398,0.78406,0.000810841,0.000810841,0.000810841
146,12840.1,0.39894,0.83636,0.29852,0.85305,0.99457,0.99497,0.99488,0.96773,0.99457,0.99497,0.99488,0.90936,0.2832,0.59703,0.22528,0.78041,0.000808389,0.000808389,0.000808389
147,12910.2,0.42222,0.84796,0.32016,0.85904,0.99446,0.99666,0.99497,0.96618,0.99446,0.99666,0.99497,0.89138,0.29219,0.68232,0.22729,0.78202,0.000805925,0.000805925,0.000805925
148,12964.7,0.39165,0.81625,0.3004,0.84912,0.99696,0.99521,0.995,0.96537,0.99696,0.99521,0.995,0.88621,0.28624,0.71367,0.21837,0.77863,0.00080345,0.00080345,0.00080345
149,13031.8,0.40682,0.81724,0.3083,0.8501,0.99239,0.99381,0.9947,0.96591,0.99239,0.99381,0.9947,0.89276,0.29216,0.64905,0.23107,0.78375,0.000800963,0.000800963,0.000800963
150,13117,0.41996,0.81845,0.32033,0.86042,0.99447,0.99655,0.99498,0.96872,0.99447,0.99655,0.99498,0.88877,0.28338,0.68595,0.22377,0.77777,0.000798464,0.000798464,0.000798464
151,13196.9,0.41793,0.83203,0.31635,0.86375,0.9967,0.99642,0.995,0.97162,0.9967,0.99642,0.995,0.89464,0.28037,0.69581,0.22693,0.77842,0.000795954,0.000795954,0.000795954
152,13290.8,0.42561,0.82045,0.3253,0.85713,0.99556,0.99772,0.99497,0.97064,0.99556,0.99772,0.99497,0.90256,0.27803,0.62456,0.2274,0.77872,0.000793432,0.000793432,0.000793432
153,13351.5,0.40652,0.79951,0.30633,0.84566,0.9965,0.99138,0.99463,0.97102,0.99828,0.9931,0.99477,0.89164,0.27441,0.68066,0.22509,0.77943,0.000790898,0.000790898,0.000790898
154,13466.4,0.38951,0.79711,0.29153,0.85349,0.99738,0.99304,0.99497,0.97278,0.99738,0.99304,0.99497,0.89191,0.28243,0.69969,0.23021,0.78164,0.000788354,0.000788354,0.000788354
155,13580,0.38077,0.78036,0.28625,0.84604,0.99789,0.99744,0.995,0.96539,0.99789,0.99744,0.995,0.89036,0.27794,0.67566,0.21355,0.77409,0.000785798,0.000785798,0.000785798
156,13674.4,0.4173,0.81938,0.3147,0.8565,0.99818,0.99241,0.99451,0.96785,0.99818,0.99241,0.99451,0.89557,0.27763,0.64128,0.2227,0.77772,0.000783231,0.000783231,0.000783231
157,13733.9,0.37795,0.78341,0.2802,0.84193,0.99548,0.9874,0.99471,0.9715,0.99548,0.9874,0.99468,0.89392,0.2755,0.68747,0.22051,0.77732,0.000780653,0.000780653,0.000780653
158,13795.1,0.41893,0.83517,0.31877,0.85687,0.99219,0.99754,0.99493,0.96878,0.99219,0.99754,0.99493,0.89482,0.29038,0.67421,0.22686,0.78362,0.000778065,0.000778065,0.000778065
159,13858.7,0.43779,0.84158,0.32968,0.85402,0.99778,0.99962,0.995,0.96596,0.99778,0.99962,0.995,0.90868,0.29584,0.60099,0.22745,0.78287,0.000775465,0.000775465,0.000775465
160,13972.5,0.40946,0.84489,0.31238,0.85991,0.99844,0.99795,0.995,0.97288,0.99844,0.99795,0.995,0.9033,0.273,0.63095,0.21648,0.77639,0.000772855,0.000772855,0.000772855
161,14025.9,0.42493,0.84581,0.32074,0.85243,0.99799,0.99467,0.99498,0.96554,0.99799,0.99467,0.99498,0.90113,0.28695,0.65553,0.2264,0.78352,0.000770234,0.000770234,0.000770234
162,14097.5,0.40216,0.83675,0.30415,0.84574,0.99617,0.99925,0.995,0.97192,0.99452,0.99761,0.995,0.89276,0.26607,0.67729,0.21551,0.77613,0.000767603,0.000767603,0.000767603
163,14175.4,0.39096,0.82117,0.29404,0.84201,0.99799,0.99706,0.995,0.97683,0.99799,0.99706,0.995,0.89566,0.26194,0.65073,0.20847,0.77294,0.000764961,0.000764961,0.000764961
164,14226.1,0.38839,0.81856,0.29129,0.84997,0.99675,0.9931,0.99493,0.97171,0.99675,0.9931,0.99493,0.90408,0.26562,0.61196,0.21014,0.77327,0.00076231,0.00076231,0.00076231
165,14306,0.38917,0.80717,0.29701,0.85575,0.99831,0.9931,0.99495,0.97747,0.99831,0.9931,0.99495,0.89429,0.26623,0.66229,0.21491,0.77436,0.000759648,0.000759648,0.000759648
166,14399.2,0.37547,0.79706,0.27987,0.84332,0.99598,0.99671,0.99495,0.96561,0.99598,0.99671,0.99495,0.90001,0.28195,0.64362,0.21469,0.77606,0.000756976,0.000756976,0.000756976
